id_pedido,fecha_hora,zona_destino,distancia_km,valor_pedido,clima,dia_semana,prioridad
96,2024-03-01 22:03:08,Chacarita,1.46,12500,normal,viernes,normal
97,2024-03-01 22:08:17,Caballito,1.98,16500,normal,viernes,normal
98,2024-03-01 22:17:50,Chacarita,1.07,14400,normal,viernes,normal
99,2024-03-01 22:21:03,Villa Crespo,0.3,18900,normal,viernes,normal
100,2024-03-01 22:37:50,Villa Ortuzar,1.56,12200,normal,viernes,normal
101,2024-03-01 22:45:37,Chacarita,1.02,18400,normal,viernes,normal
102,2024-03-01 22:53:28,Caballito,1.89,23500,normal,viernes,normal
103,2024-03-01 22:55:14,Villa Crespo,0.57,24000,normal,viernes,normal
104,2024-03-01 22:59:49,Palermo,2.54,29400,normal,viernes,normal
105,2024-03-01 23:00:27,Parque Centenario,0.99,14400,normal,viernes,normal
106,2024-03-01 23:04:54,Villa Crespo,0.3,8900,normal,viernes,express
107,2024-03-01 23:17:56,Once,1.8,15400,normal,viernes,normal
108,2024-03-01 23:32:56,Colegiales,1.88,17900,normal,viernes,normal
109,2024-03-01 23:36:01,Villa Ortuzar,1.52,17300,normal,viernes,normal
110,2024-03-01 23:54:28,Chacarita,1.06,17300,normal,viernes,normal
111,2024-03-01 23:58:02,Once,1.95,18000,normal,viernes,normal
112,2024-03-02 00:05:41,Colegiales,1.88,20300,normal,sabado,normal
113,2024-03-02 00:17:28,Villa Crespo,0.31,17500,normal,sabado,express
114,2024-03-02 00:19:39,Almagro,1.11,21300,normal,sabado,normal
115,2024-03-02 00:36:03,Caballito,1.77,15100,normal,sabado,normal
116,2024-03-02 00:51:16,Villa Crespo,0.38,13600,normal,sabado,express
117,2024-03-02 00:54:42,Villa Crespo,0.3,23400,normal,sabado,normal
118,2024-03-02 00:59:56,Villa Crespo,0.68,23100,normal,sabado,normal
119,2024-03-02 01:08:19,Caballito,2.2,16000,normal,sabado,normal
120,2024-03-02 01:16:33,Parque Centenario,1.49,24500,normal,sabado,normal
121,2024-03-02 01:29:13,Palermo,2.03,16900,normal,sabado,normal
122,2024-03-02 01:29:17,Almagro,0.43,14200,normal,sabado,normal
123,2024-03-02 01:39:36,Palermo,1.85,20200,normal,sabado,normal
124,2024-03-02 01:46:34,Almagro,0.97,15400,normal,sabado,normal
125,2024-03-02 01:57:49,Almagro,0.8,23800,normal,sabado,normal
126,2024-03-02 05:27:56,Parque Centenario,1.48,11800,normal,sabado,express
127,2024-03-02 09:38:11,Chacarita,1.13,8400,normal,sabado,normal
128,2024-03-02 09:46:25,Once,1.84,11700,normal,sabado,normal
129,2024-03-02 10:16:57,Colegiales,1.45,27700,normal,sabado,express
130,2024-03-02 10:36:02,Almagro,0.46,18700,normal,sabado,normal
131,2024-03-02 10:40:25,Palermo,2.34,9400,normal,sabado,express
132,2024-03-02 10:55:00,Villa Ortuzar,1.67,16300,normal,sabado,normal
133,2024-03-02 11:04:05,Palermo,2.19,10800,normal,sabado,express
134,2024-03-02 11:27:18,Caballito,1.87,12000,normal,sabado,express
135,2024-03-02 11:38:26,Chacarita,1.02,15800,normal,sabado,normal
136,2024-03-02 11:43:03,Villa Crespo,0.3,19000,normal,sabado,express
137,2024-03-02 11:47:23,Colegiales,1.52,27900,normal,sabado,normal
138,2024-03-02 11:59:59,Once,1.08,28200,normal,sabado,normal
139,2024-03-02 12:06:08,Almagro,0.47,16800,normal,sabado,normal
140,2024-03-02 12:15:20,Villa Crespo,0.3,15800,normal,sabado,normal
141,2024-03-02 12:17:23,Colegiales,1.7,20600,normal,sabado,normal
142,2024-03-02 12:21:53,Caballito,2.35,8600,normal,sabado,normal
143,2024-03-02 12:22:06,Villa Crespo,0.39,12800,normal,sabado,normal
144,2024-03-02 12:29:37,Once,1.75,17400,normal,sabado,express
145,2024-03-02 12:48:58,Almagro,0.49,16800,normal,sabado,express
146,2024-03-02 12:49:18,Colegiales,1.95,12300,normal,sabado,normal
147,2024-03-02 12:50:09,Villa Crespo,0.44,21800,normal,sabado,normal
148,2024-03-02 12:50:23,Palermo,2.23,9600,normal,sabado,normal
149,2024-03-02 12:55:09,Villa Ortuzar,0.98,20200,normal,sabado,normal
150,2024-03-02 12:56:12,Parque Centenario,1.55,22500,normal,sabado,express
151,2024-03-02 13:10:07,Colegiales,1.41,12700,normal,sabado,normal
152,2024-03-02 13:10:24,Almagro,0.64,9300,normal,sabado,normal
153,2024-03-02 13:10:42,Colegiales,2.44,19800,normal,sabado,express
154,2024-03-02 13:14:09,Paternal,1.14,24100,normal,sabado,express
155,2024-03-02 13:24:35,Almagro,0.47,10700,normal,sabado,normal
156,2024-03-02 13:28:06,Colegiales,1.87,11000,normal,sabado,normal
157,2024-03-02 13:34:39,Colegiales,2.06,21100,normal,sabado,normal
158,2024-03-02 13:47:12,Almagro,0.76,18900,normal,sabado,express
159,2024-03-02 13:49:09,Almagro,0.61,24100,normal,sabado,normal
160,2024-03-02 13:51:37,Palermo,2.25,18500,normal,sabado,normal
161,2024-03-02 14:11:55,Once,1.67,18500,normal,sabado,normal
162,2024-03-02 14:17:20,Villa Crespo,0.89,15500,normal,sabado,normal
163,2024-03-02 14:51:55,Almagro,0.58,19600,normal,sabado,normal
164,2024-03-02 14:55:08,Caballito,2.13,16000,normal,sabado,normal
165,2024-03-02 15:07:02,Almagro,0.59,17400,normal,sabado,express
166,2024-03-02 15:46:26,Colegiales,1.86,15100,normal,sabado,normal
167,2024-03-02 16:36:40,Palermo,1.85,22300,normal,sabado,express
168,2024-03-02 16:58:30,Colegiales,2.08,7300,normal,sabado,normal
169,2024-03-02 17:46:20,Palermo,2.05,11500,normal,sabado,normal
170,2024-03-02 17:59:58,Caballito,2.38,9800,normal,sabado,normal
171,2024-03-02 18:18:35,Palermo,2.21,15700,normal,sabado,normal
172,2024-03-02 19:16:57,Villa Crespo,0.56,15700,normal,sabado,normal
173,2024-03-02 19:19:20,Once,1.06,18500,normal,sabado,normal
174,2024-03-02 19:19:32,Caballito,1.57,13600,normal,sabado,normal
175,2024-03-02 19:22:35,Palermo,2.34,7200,normal,sabado,normal
176,2024-03-02 19:23:23,Villa Crespo,0.3,16400,normal,sabado,normal
177,2024-03-02 19:39:08,Caballito,2.14,14700,normal,sabado,express
178,2024-03-02 19:43:20,Paternal,1.26,12500,normal,sabado,normal
179,2024-03-02 19:47:49,Once,1.67,15100,normal,sabado,express
180,2024-03-02 19:57:39,Almagro,0.94,12700,normal,sabado,normal
181,2024-03-02 20:03:05,Palermo,2.88,20900,normal,sabado,normal
182,2024-03-02 20:04:03,Once,1.06,15000,normal,sabado,normal
183,2024-03-02 20:05:36,Villa Ortuzar,1.55,17400,normal,sabado,normal
184,2024-03-02 20:07:07,Villa Crespo,0.61,24400,normal,sabado,normal
185,2024-03-02 20:13:51,Palermo,2.58,12100,normal,sabado,normal
186,2024-03-02 20:13:51,Villa Crespo,0.64,21700,normal,sabado,normal
187,2024-03-02 20:18:19,Parque Centenario,1.44,7000,normal,sabado,normal
188,2024-03-02 20:23:28,Villa Crespo,0.37,22000,normal,sabado,express
189,2024-03-02 20:26:55,Palermo,1.79,22600,normal,sabado,normal
190,2024-03-02 20:34:02,Once,1.68,13400,normal,sabado,normal
191,2024-03-02 20:43:37,Chacarita,1.27,7000,normal,sabado,normal
192,2024-03-02 21:08:49,Palermo,1.93,13700,normal,sabado,normal
193,2024-03-02 21:11:28,Palermo,2.28,23000,normal,sabado,normal
194,2024-03-02 21:12:58,Palermo,2.41,13600,normal,sabado,normal
195,2024-03-02 21:14:59,Colegiales,1.89,19600,normal,sabado,normal
196,2024-03-02 21:15:02,Villa Crespo,0.4,7500,normal,sabado,normal
197,2024-03-02 21:22:19,Villa Crespo,0.3,20500,normal,sabado,normal
198,2024-03-02 21:23:45,Chacarita,1.05,16900,normal,sabado,normal
199,2024-03-02 21:27:41,Palermo,2.04,19200,normal,sabado,normal
200,2024-03-02 21:29:37,Almagro,0.85,13600,normal,sabado,express
201,2024-03-02 21:33:48,Almagro,0.44,12200,normal,sabado,normal
202,2024-03-02 21:34:09,Villa Crespo,0.66,13200,normal,sabado,normal
203,2024-03-02 21:35:46,Villa Crespo,0.3,19200,normal,sabado,normal
204,2024-03-02 21:36:10,Once,1.34,10500,normal,sabado,normal
205,2024-03-02 21:45:41,Chacarita,0.76,12200,normal,sabado,normal
206,2024-03-02 21:46:17,Villa Crespo,0.32,23800,normal,sabado,express
207,2024-03-02 21:50:36,Almagro,0.86,22100,normal,sabado,normal
208,2024-03-02 21:52:11,Colegiales,2.14,23900,normal,sabado,normal
209,2024-03-02 21:53:38,Villa Ortuzar,1.76,20700,normal,sabado,normal
210,2024-03-02 21:55:48,Villa Ortuzar,1.31,25400,normal,sabado,normal
211,2024-03-02 21:55:49,Chacarita,1.31,13600,normal,sabado,normal
212,2024-03-02 22:01:37,Palermo,2.01,13600,normal,sabado,normal
213,2024-03-02 22:01:47,Once,1.09,16500,normal,sabado,normal
214,2024-03-02 22:05:33,Villa Crespo,0.36,10800,normal,sabado,normal
215,2024-03-02 22:12:24,Villa Ortuzar,1.18,16100,normal,sabado,normal
216,2024-03-02 22:14:41,Colegiales,1.87,25000,normal,sabado,normal
217,2024-03-02 22:15:25,Almagro,0.87,16600,normal,sabado,normal
218,2024-03-02 22:15:59,Villa Crespo,0.72,15800,normal,sabado,express
219,2024-03-02 22:23:48,Chacarita,0.84,7300,normal,sabado,normal
220,2024-03-02 22:30:02,Villa Crespo,0.53,25900,normal,sabado,express
221,2024-03-02 22:32:11,Paternal,1.97,14700,normal,sabado,normal
222,2024-03-02 22:32:33,Palermo,2.17,15000,normal,sabado,normal
223,2024-03-02 22:45:56,Caballito,1.78,7900,normal,sabado,normal
224,2024-03-02 22:57:31,Villa Crespo,0.77,15900,normal,sabado,normal
225,2024-03-02 23:02:28,Villa Ortuzar,1.79,7000,normal,sabado,normal
226,2024-03-02 23:04:12,Palermo,3.0,12000,normal,sabado,normal
227,2024-03-02 23:08:22,Villa Crespo,0.71,11800,normal,sabado,normal
228,2024-03-02 23:13:23,Chacarita,1.13,19900,normal,sabado,normal
229,2024-03-02 23:14:02,Almagro,0.85,18000,normal,sabado,normal
230,2024-03-02 23:20:52,Almagro,0.31,9900,normal,sabado,normal
231,2024-03-02 23:21:38,Almagro,0.93,20600,normal,sabado,normal
232,2024-03-02 23:24:41,Villa Ortuzar,1.05,26500,normal,sabado,normal
233,2024-03-02 23:29:30,Caballito,2.03,21600,normal,sabado,normal
234,2024-03-02 23:32:13,Parque Centenario,1.14,14500,normal,sabado,normal
235,2024-03-02 23:49:56,Villa Crespo,0.3,32000,normal,sabado,normal
236,2024-03-02 23:55:39,Caballito,1.99,12100,normal,sabado,normal
237,2024-03-03 00:08:16,Almagro,1.22,10300,normal,domingo,normal
238,2024-03-03 00:25:26,Villa Crespo,0.76,9300,normal,domingo,normal
239,2024-03-03 00:34:44,Paternal,1.49,14100,normal,domingo,normal
240,2024-03-03 00:55:10,Once,1.49,19500,normal,domingo,express
241,2024-03-03 01:06:00,Villa Crespo,0.45,9700,normal,domingo,normal
242,2024-03-03 01:11:06,Villa Crespo,0.5,10400,normal,domingo,normal
243,2024-03-03 02:41:50,Parque Centenario,2.29,16900,normal,domingo,normal
244,2024-03-03 09:14:08,Chacarita,0.78,19600,normal,domingo,normal
245,2024-03-03 09:54:05,Palermo,2.35,14400,normal,domingo,normal
246,2024-03-03 10:02:05,Villa Crespo,0.62,15000,normal,domingo,normal
247,2024-03-03 10:07:23,Villa Crespo,0.48,12700,normal,domingo,normal
248,2024-03-03 10:14:38,Villa Crespo,0.53,15600,normal,domingo,normal
249,2024-03-03 10:32:51,Almagro,0.87,18000,normal,domingo,normal
250,2024-03-03 11:24:55,Caballito,1.94,11900,normal,domingo,normal
251,2024-03-03 11:37:14,Paternal,0.84,15200,normal,domingo,normal
252,2024-03-03 11:43:12,Villa Crespo,0.51,13200,normal,domingo,normal
253,2024-03-03 11:51:22,Villa Ortuzar,1.57,20200,normal,domingo,express
254,2024-03-03 11:58:35,Palermo,1.68,19000,normal,domingo,normal
255,2024-03-03 12:02:44,Villa Crespo,0.3,21200,normal,domingo,normal
256,2024-03-03 12:03:28,Chacarita,0.96,15400,normal,domingo,normal
257,2024-03-03 12:05:25,Palermo,1.91,11000,normal,domingo,normal
258,2024-03-03 12:19:19,Caballito,2.3,17700,normal,domingo,normal
259,2024-03-03 12:19:34,Almagro,0.76,10100,normal,domingo,normal
260,2024-03-03 12:21:35,Chacarita,0.78,13700,normal,domingo,normal
261,2024-03-03 12:22:54,Almagro,0.82,8900,normal,domingo,normal
262,2024-03-03 12:26:25,Villa Ortuzar,1.38,24300,normal,domingo,normal
263,2024-03-03 12:37:29,Colegiales,1.6,12900,normal,domingo,express
264,2024-03-03 12:37:52,Colegiales,1.44,24700,normal,domingo,normal
265,2024-03-03 12:40:23,Villa Crespo,0.71,16300,normal,domingo,normal
266,2024-03-03 12:52:03,Chacarita,0.89,10100,normal,domingo,normal
267,2024-03-03 12:56:30,Villa Crespo,0.45,10100,normal,domingo,express
268,2024-03-03 13:02:02,Villa Ortuzar,1.8,18400,normal,domingo,normal
269,2024-03-03 13:03:52,Once,1.46,19500,normal,domingo,normal
270,2024-03-03 13:08:11,Paternal,0.89,13700,normal,domingo,express
271,2024-03-03 13:09:00,Palermo,2.06,26200,normal,domingo,normal
272,2024-03-03 13:18:13,Palermo,2.22,20500,normal,domingo,normal
273,2024-03-03 13:29:10,Once,2.06,21100,normal,domingo,normal
274,2024-03-03 13:31:51,Almagro,0.62,14300,normal,domingo,express
275,2024-03-03 13:33:52,Once,1.27,14900,normal,domingo,express
276,2024-03-03 13:37:40,Palermo,1.81,10700,normal,domingo,normal
277,2024-03-03 13:41:22,Villa Ortuzar,1.44,18600,normal,domingo,express
278,2024-03-03 13:48:01,Villa Ortuzar,1.04,18300,normal,domingo,normal
279,2024-03-03 13:53:05,Palermo,1.88,21500,normal,domingo,normal
280,2024-03-03 14:13:13,Paternal,1.45,16800,normal,domingo,normal
281,2024-03-03 14:22:02,Chacarita,1.52,11900,normal,domingo,normal
282,2024-03-03 14:32:21,Parque Centenario,1.91,15300,normal,domingo,express
283,2024-03-03 15:32:29,Palermo,2.09,29600,normal,domingo,express
284,2024-03-03 15:50:11,Colegiales,1.32,17700,normal,domingo,normal
285,2024-03-03 16:11:28,Villa Ortuzar,1.2,17200,normal,domingo,normal
286,2024-03-03 16:25:22,Almagro,0.77,21400,normal,domingo,express
287,2024-03-03 17:44:17,Parque Centenario,1.46,15600,normal,domingo,express
288,2024-03-03 17:47:06,Villa Crespo,0.36,19500,normal,domingo,normal
289,2024-03-03 18:16:21,Chacarita,0.8,12500,normal,domingo,normal
290,2024-03-03 18:16:26,Palermo,1.99,8700,normal,domingo,normal
291,2024-03-03 18:52:49,Colegiales,1.86,10200,normal,domingo,normal
292,2024-03-03 19:05:04,Almagro,0.43,8300,normal,domingo,normal
293,2024-03-03 19:06:21,Once,1.34,14400,normal,domingo,normal
294,2024-03-03 19:11:13,Paternal,1.16,9800,normal,domingo,normal
295,2024-03-03 19:14:22,Villa Ortuzar,1.3,16500,normal,domingo,normal
296,2024-03-03 19:23:55,Villa Ortuzar,1.54,13100,normal,domingo,normal
297,2024-03-03 19:33:29,Villa Crespo,0.73,14300,normal,domingo,normal
298,2024-03-03 19:40:26,Chacarita,0.9,18700,normal,domingo,express
299,2024-03-03 19:50:25,Almagro,1.18,21400,normal,domingo,normal
300,2024-03-03 19:52:06,Villa Crespo,0.74,17400,normal,domingo,normal
301,2024-03-03 19:54:51,Villa Crespo,0.35,23400,normal,domingo,normal
302,2024-03-03 20:01:32,Villa Crespo,0.52,15700,normal,domingo,normal
303,2024-03-03 20:03:41,Villa Crespo,0.64,18800,normal,domingo,normal
304,2024-03-03 20:06:18,Caballito,2.35,12400,normal,domingo,normal
305,2024-03-03 20:09:52,Caballito,2.02,8500,normal,domingo,normal
306,2024-03-03 20:12:26,Palermo,2.67,22700,normal,domingo,normal
307,2024-03-03 20:15:34,Chacarita,1.77,20300,normal,domingo,normal
308,2024-03-03 20:18:52,Paternal,0.95,14900,normal,domingo,normal
309,2024-03-03 20:23:23,Caballito,1.96,18600,normal,domingo,normal
310,2024-03-03 20:23:27,Once,1.45,15000,normal,domingo,normal
311,2024-03-03 20:23:47,Once,1.42,16900,normal,domingo,normal
312,2024-03-03 20:43:47,Villa Crespo,0.88,17400,normal,domingo,express
313,2024-03-03 20:46:47,Chacarita,1.23,24600,normal,domingo,normal
314,2024-03-03 20:50:31,Palermo,2.39,11000,normal,domingo,normal
315,2024-03-03 20:53:49,Paternal,1.47,14100,normal,domingo,normal
316,2024-03-03 20:55:31,Villa Crespo,0.31,23900,normal,domingo,normal
317,2024-03-03 20:56:58,Villa Crespo,0.75,13800,normal,domingo,normal
318,2024-03-03 20:58:27,Parque Centenario,2.12,7000,normal,domingo,normal
319,2024-03-03 21:12:40,Almagro,0.52,19900,normal,domingo,normal
320,2024-03-03 21:17:03,Caballito,1.84,14500,normal,domingo,normal
321,2024-03-03 21:23:38,Caballito,1.89,24300,normal,domingo,normal
322,2024-03-03 21:25:58,Once,1.71,17100,normal,domingo,normal
323,2024-03-03 21:26:50,Villa Ortuzar,1.34,8000,normal,domingo,express
324,2024-03-03 21:34:17,Colegiales,2.03,12800,normal,domingo,normal
325,2024-03-03 21:42:38,Almagro,0.75,18200,normal,domingo,normal
326,2024-03-03 21:53:43,Villa Crespo,0.47,17600,normal,domingo,normal
327,2024-03-03 21:59:22,Parque Centenario,1.69,13100,normal,domingo,normal
328,2024-03-03 22:09:05,Caballito,1.62,22200,normal,domingo,express
329,2024-03-03 22:09:08,Almagro,0.59,7600,normal,domingo,normal
330,2024-03-03 22:12:25,Paternal,1.18,25200,normal,domingo,normal
331,2024-03-03 22:14:18,Villa Crespo,0.39,23300,normal,domingo,normal
332,2024-03-03 22:16:06,Almagro,0.95,18400,normal,domingo,express
333,2024-03-03 22:16:14,Parque Centenario,1.63,7000,normal,domingo,normal
334,2024-03-03 22:21:15,Villa Crespo,0.84,21700,normal,domingo,normal
335,2024-03-03 22:27:27,Once,1.66,21000,normal,domingo,normal
336,2024-03-03 22:28:01,Palermo,1.87,20500,normal,domingo,normal
337,2024-03-03 22:31:28,Caballito,1.66,28200,normal,domingo,normal
338,2024-03-03 22:31:55,Palermo,2.12,22300,normal,domingo,normal
339,2024-03-03 22:38:04,Chacarita,1.21,10500,normal,domingo,express
340,2024-03-03 22:41:50,Colegiales,1.82,14200,normal,domingo,normal
341,2024-03-03 22:48:41,Villa Ortuzar,1.46,16000,normal,domingo,normal
342,2024-03-03 22:55:12,Colegiales,1.52,12400,normal,domingo,normal
343,2024-03-03 22:55:15,Colegiales,1.72,19600,normal,domingo,express
344,2024-03-03 22:56:29,Villa Ortuzar,1.49,18800,normal,domingo,normal
345,2024-03-03 23:06:35,Palermo,1.88,20400,normal,domingo,normal
346,2024-03-03 23:15:42,Villa Crespo,0.63,17400,normal,domingo,normal
347,2024-03-03 23:20:27,Villa Crespo,0.64,20500,normal,domingo,normal
348,2024-03-03 23:21:25,Caballito,2.0,14000,normal,domingo,normal
349,2024-03-03 23:26:33,Almagro,0.67,21000,normal,domingo,normal
350,2024-03-03 23:27:06,Colegiales,1.77,14200,normal,domingo,normal
351,2024-03-03 23:33:34,Palermo,2.53,7900,normal,domingo,normal
352,2024-03-04 00:04:19,Villa Ortuzar,0.97,16900,normal,lunes,normal
353,2024-03-04 00:25:44,Villa Crespo,0.5,16100,normal,lunes,express
354,2024-03-04 00:30:47,Villa Crespo,0.42,8300,normal,lunes,normal
355,2024-03-04 01:11:01,Paternal,1.32,12500,normal,lunes,normal
356,2024-03-04 01:14:59,Chacarita,0.82,19200,normal,lunes,normal
357,2024-03-04 01:15:27,Villa Ortuzar,1.82,22100,normal,lunes,normal
358,2024-03-04 01:19:27,Colegiales,2.32,12400,normal,lunes,normal
359,2024-03-04 01:38:19,Almagro,0.96,7000,normal,lunes,normal
360,2024-03-04 01:50:12,Colegiales,1.8,16400,normal,lunes,normal
361,2024-03-04 01:57:09,Almagro,0.61,7000,normal,lunes,normal
362,2024-03-04 04:31:12,Almagro,0.83,9200,normal,lunes,normal
363,2024-03-04 09:30:12,Palermo,1.56,10600,normal,lunes,normal
364,2024-03-04 09:51:34,Palermo,2.21,10800,normal,lunes,express
365,2024-03-04 10:11:55,Chacarita,1.11,10800,normal,lunes,normal
366,2024-03-04 10:21:11,Palermo,2.06,16000,normal,lunes,express
